ID,Заголовок,Предусловие,Приоритет,Шаг,Ожидаемый результат,Фактический результат,Медиафайлы,Тестовая среда,Комментарии
1,"Локализация страниц: некоторые экраны на русском языке, при выборе турецкого языка",,Низкий,"Страницы, где неправильная локализация:
1. Экран “Профиль”
2. Экран “Фонд”
3. Главная страница
4. Экран входа в “Кабинет фандрайзера”
5. Рассказать о фонде
6. Экран “привязка новой карты”
7. Экран “партнеры”",Локализация на турецком языке,Локализация на русском языке,,"Operational system: IOS 15.6.1
Device: iPhone 11 (real device)
Font size: Default
Country: Russia
Language: Turkey",
2,"Локализация чисел в блоке платежей: в некоторых экранах отображается символ рубля, при выборе турецкого языка",,Низкий,"1. Главный экран
2. Перейти в карточка проекта
3. Нажать на кнопку помочь / bağış yar

4. Главный экран
5. Поиск
6. Выбрать любой фонд
7. Переключиться на разово / bir kere

8. Профиль
9. Настройки
10. Перейти в Партнеры / ortaklar
11. Выбрать одну из двух компанию",Отображается символ лиры,Отображается символ рубля,,"Operational system: IOS 15.6.1
Device: iPhone 11 (real device)
Font size: Default
Country: Russia
Language: Turkey",
3,"Экран поиска: автоматическое воспроизведение видео (YouTube), при касании по экрану","Если мы откроем фильтры-поиска, в то время, как под категориями осталось видео (в первом слайде), то оно реагирует на касания, т.е. когда мы выбираем категорий для поиска.
Важно, чтобы видео от YouTube, было первым в слайде просмотров.",Средний,"1. Главный экран,
2. Нажать на поиск (справа вверху)
3. Перейти фильтры поиска (справа вверху)
4. Выбрать категорию",Выбор категорий поиска без лишних звуков,"Непонятно откуда идет звук, пока не скроем выборку категорий и увидим, что запущено видео, хотя мы и не запускали",ссылка,"Operational system: IOS 15.6.1
Device: iPhone 11 (real device)
Font size: Default
Country: USA
Language: Russian",
4,"Экран кода подтверждения: показывает сообщение “wrong code”, при написание правильного кода, когда пропадает интернет",,Низкий,"1. Первоначальный экран входа
2. Войти через почту
3. Указать свой email
4. Нажать на кнопку ""Войти""
5. Отключить интернет!
6. Написать правильный код","Уведомление ""Connection to the Internet is lost""","Уведомление ""Wrong code""",ссылка,"Operational system: IOS 15.6.1
Device: iPhone 11 (real device)
Font size: Default
Country: Russia
Language: Russian",
5,"Экран кода подтверждения: невозможно удалить числа, пока не заполнят полностью все 4-поля",,Средний,"1. Первоначальный экран входа
2. Войти через почту
3. Указать свой email
4. Нажать на кнопку “Войти”
5. Ввести только 3 цифры
6. Удалить цифры (не нажимая на поле ввода)
7. Ввести только 2 цифры
8. Удалить цифры (не нажимая на поле ввода)
9. Ввести только 1 цифру
10. Удалить цифру (не нажимая на поле ввода)","Удаление чисел, не заполняя все поля","Числа не удаляются, необходимо заполнить все 4 поля",ссылка,"Operational system: IOS 15.6.1
Device: iPhone 11 (real device)
Font size: Default
Country: Russia
Language: Russian",
6,Первоначальный экран: отсутствие кнопки “сохранить”,,Высокий,"1. Первоначальный экран входа
2. Продолжить без авторизации","Отображение кнопки ""сохранить""","Кнопка ""сохранить"" не видна",ссылка,"Operational system: Android
Device: Galaxy Nexus
Font size: Default
Country: Russia
Language: Russian",
7,"Экран полного изображения: значения под фотографиями не меняются, при перелистывание","При перелистывание изображений, значения также должны меняться, в соответствии с порядком.",Средний,"1. Главный экран
2. Перейти в карточку проекта
3. Нажать на изображение
4. Пролистать вправо","Меняется значение, при перелистывания",Значение не меняется,ссылка,"Operational system: IOS 15.5
Device: iPhone SE
Font size: Default
Country: Russia
Language: Russian",
8,"Подписка на фонд: значение на кнопке ""SberPay"" не меняется, при выборе суммы",,Высокий,"1. Главный экран
2. Нажать на поиск (справа вверху)
3. Перейти в любой фонд
4. Нажать на кнопку ""оформить подписку""
5. Выбрать любую сумму, из трех ниже предложенных","Сумма на кнопке ""SberPay"" меняется"", когда нажимаем на любую кнопку из трех, ниже предложенных","Не меняется сумма на кнопке ""SberPay"", когда нажимаем на любую кнопку из трех, ниже предложенных",ссылка,"Operational system: IOS 15.6.1
Device: iPhone 11 (real device)
Font size: Default
Country: Russia
Language: Russian",
9,"Экран мои карты: overflowed, при добавлении новой карты",,Низкий,"1. Настройки
2. Мои карты
3. Добавить новую карты",Клавиатура не перекрывает кнопки,Клавиатура перекрывает поля ввода,ссылка,"Operational system: Android
Device: Galaxy Nexus
Font size: Default
Country: Russia
Language: Russian",
10,"Экран поиска: отображается “тест” регион, при выборе региона",,Средний,"1. Главный экран
2. Поиск
3. Фильтры поиска
4. Выбрать “регион”
5. Пролистать вниз",Отображения всех действительных регионов,Отображается “тест” регион,ссылка,"Operational system: IOS 15.6.1
Device: iPhone 11 (real device)
Font size: Default
Country: Russia
Language: Russian",
11,"Экран поиска: карточки проектов и категорий не переводятся, при смене страны и языка","На странице поиска, карточки проектов и категорий, не переводятся на выбранный язык, при смены страны и языка.
При перезагрузке приложения, приложение работает корректно, без ошибок",Средний,"1. Профиль
2. Настройки
3. Язык и регион
4. Выбрать страну “Казахстан”
5. Перейти на главный экран (обязательно!)
6. Зайти в поиск (обязательно!)
7. Профиль
8. Настройки
9. Язык и регион
10. Выбрать английский язык “English”
11. Перейти на главный экран
12. Зайти в поиск
12.1. Перейти в фильтры поиска",Страница поиска: отображается в соответствии с выбранным языком,Страница поиска: отображается на ранее выбранном языке,ссылка,"Operational system: IOS 15.6.1
Device: iPhone 11 (real device)
Font size: Default
Country: Russia → Kazakhstan
Language: Russian → English",
12,"Экран настроек: профиль зависает, при заполнение на 150 символов в поле “имя” и при отмене настроек",,Низкий,"1. Профиль
2. Перейти в настройки
3. Написать в поле “имя” больше 150 символов
4. Нажать на кнопку “< профиль”, слева вверху
5. Нажать на “да”, при сообщении “Сохранить изменения?”
6. Закрыть уведомление о том, что нельзя ввести больше 150 символов
7. Нажать на кнопку “< профиль”, слева вверху
8. Нажать на “нет”, при сообщении “Сохранить изменения?”",Профиль работает без нареканий,Профиль больше не доступен,ссылка,"Operational system: IOS 15.6.1
Device: iPhone 11 (real device)
Font size: Default
Country: Russia
Language: Russian",
13,"Экран настроек: предупреждение об ограничение на 150 символов, не отображается, при заполнении ввода в фамилии",,Низкий,"1. Профиль
2. Перейти в настройки
3. Написать в поле “имя” 150 символов
4. Написать в поле “фамилия” один или больше символ
5. Нажать на кнопку “Сохранить”, внизу страницы
5.1. Нажать на кнопку “< профиль”, слева вверху",Предупреждение об ограничение на 150 символов,Ничего не отображается,ссылка,"Operational system: IOS 15.6.1
Device: iPhone 11 (real device)
Font size: Default
Country: Russia
Language: Russian",
14,"Экран первоначального входа (введение имени): приложение зависает, при заполнение на 150 символов в поле “фамилия”",,Низкий,"1. Профиль
2. Перейти в настройки
3. Оставить пустым поле “имя”
4. Написать в поле “фамилия” ровно 150 символов
5. Нажать на кнопку “Выйти за аккаунта”, внизу страницы
6. Первоначальный экран входа
7. Войти через почту
8. Указать свой email
9. Нажать на кнопку “Войти”
10. Ввести код
11. Нажать на кнопку “Войти”
12. Нажать на “ок” при сообщение об успешной авторизации
13. Нажать на кнопку “Сохранить”",Вход в приложение,Бесконечная загрузка,ссылка,"Operational system: IOS 15.6.1
Device: iPhone 11 (real device)
Font size: Default
Country: Russia
Language: Russian",
15,"Фильтры поиска: не отображается галочка, при выборе категорий",,Средний,"1. Главный экран
2. Нажать на поиск (справа вверху)
3. Перейти на фильтры поиска
4. Выбрать любой фильтр","При выборе определенной категорий, должная появиться галочка перед словом","Иконка галочки не появляется, непонятно, что выбрал",ссылка,"Operational system: Android
Device: Galaxy Nexus
Font size: Default
Country: Russia
Language: Russian",ссылка2
16,"Экран поиска: иконка не меняется, при добавление в избранное",,Низкий,"1. Главный экран
2. Нажать на поиск (справа вверху)
3. Перейти в карточку проекта (внизу)
4. Добавить в избранное (иконка звезды)","При добавление фонда в избранное, иконка должна поменяться (заполниться), также и при удаление опустошиться",Иконка не меняется,ссылка,"Operational system: IOS 15.6.1
Device: iPhone 11 (real device)
Font size: Default
Country: Russia
Language: Russian",
17,Будильник: размер шрифта не меняется,"Текст: 
""Введи сумму которая спишется на благотворительность, если ты нажмёшь кнопку отложить или проспишь""

P.S. после слово ""сумму"" и перед словом ""которая"" поставить запятую, так как начинается сравнительный оборот. ",Низкий,"1. Будильник
2. Настройки будильника
3. Зайти в настройки телефона
4. Увеличить шрифт
5. Зайти обратно в приложение
6. Зайти в настройки телефона
7. Уменьшить шрифт
8. Зайти обратно в приложение","Шрифт меняется  в соответствии с выбранным размером
","Шрифт не меняется, вне зависимости размера
",ссылка,"Operational system: IOS 16
Device: iPhone 11 (real device)
Font size: Default → Max size → Min size
Country: Russia 
Language: Russian",
18,"Главный экран, видео сбора: красный экран Exception, при выходе из полноэкранного режима",,Высокий,"1. Профиль
2. Настройки
3. Язык и регион
4. Выбрать страну “США”
5. Перейти на главный экран
6. Запустить видео
7. Открыть во весь экран
8. Закрыть полноэкранный режим, нажав на крестик слева вверху","Продолжение видео, уже в оконном режиме
","Отображается красный экран, внутри карточки проекта
",ссылка,"Operational system: Android
Device: Galaxy Nexus
Font size: Default
Country: Russia
Language: Russian",